iata,name,latitude_deg,longitude_deg,continent,iso_country,municipality,timezone,icao_code,gps_code
ATH,Athens Eleftherios Venizelos International Airport,37.936401,23.9445,EU,GR,Spata-Artemida,Europe/Athens,LGAV,LGAV
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.46704,-157.436013,NA,US,Atqasuk,America/Anchorage,PATQ,PATQ
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,NA,US,Atlanta,America/New_York,KATL,KATL
ATM,Altamira Interstate Airport,-3.253144,-52.253938,SA,BR,Altamira,America/Santarem,SBHT,SBHT
ATQ,Sri Guru Ram Dass Jee International Airport,31.7096,74.797302,AS,IN,Amritsar,Asia/Kolkata,VIAR,VIAR
ATR,Atar International Airport,20.506799697875977,-13.04319953918457,AF,MR,Atar,Africa/Nouakchott,GQPA,GQPA
ATW,Appleton International Airport,44.258099,-88.519096,NA,US,Appleton,America/Chicago,KATW,KATW
ATY,Watertown Regional Airport,44.91400146,-97.15470123,NA,US,Watertown,America/Chicago,KATY,KATY
ATZ,Asyut International Airport,27.050818,31.016309,AF,EG,Asyut,Africa/Cairo,HEAT,HEAT
AUA,Queen Beatrix International Airport,12.5014,-70.015198,NA,AW,Oranjestad,America/Aruba,TNCA,TNCA
AUC,Santiago Perez Airport,7.06888,-70.7369,SA,CO,Arauca,America/Bogota,SKUC,SKUC
AUF,Auxerre Branches airport,47.850201,3.49711,EU,FR,Auxerre,Europe/Paris,LFLA,LFLA
AUG,Augusta State Airport,44.320598602299995,-69.7973022461,NA,US,Augusta,America/New_York,KAUG,KAUG
AUH,Zayed International Airport,24.443764,54.651718,AS,AE,Abu Dhabi,Asia/Dubai,OMAA,OMAA
AUQ,Hiva Oa-Atuona Airport,-9.76879024506,-139.011001587,OC,PF,Hiva Oa Island,Pacific/Marquesas,NTMN,NTMN
AUR,Aurillac airport,44.891399,2.42194,EU,FR,Aurillac,Europe/Paris,LFLW,LFLW
AUS,Austin Bergstrom International Airport,30.197535,-97.662015,NA,US,Austin,America/Chicago,KAUS,KAUS
AUW,Wausau Downtown Airport,44.9262008667,-89.6266021729,NA,US,Wausau,America/Chicago,KAUW,KAUW
